NominalReturn_BCOMTR,Long_Nominal_Returns,Short_Nominal_Returns,Close,SMA,Buy,L_Strategy_Return,L_Strategy_Balance,L_Strategy_Peak,L_Strategy_DD,L_momentum_signal,LS_Strategy_Return,LS_Strategy_Balance,LS_Strategy_Peak,LS_Strategy_DD,LS_momentum_signal,log_Strategy_Returns,expanding_volatility,momentum_z_score,normalized_momentum_z_score,absolute_normalized_momentum_z_score,Z_Long_Nominal_Returns,Z_Short_Nominal_Returns,Z_Strategy_Return,Z_Strategy_Balance,Z_Strategy_Peak,Z_Strategy_DD
-0.0001,0.9999,1.0001,173.29,169.86493333333334,True,0.9999,97.48310781581175,101.3598393312009,-3.876731515389153,1,0.9999,94.45496665851417,100.81249619881238,-6.357529540298216,1,-0.00010000500033334732,0.0077944561024824825,439.4234339937832,0.07523444952235177,0.07523444952235177,0.9999925694154204,1.0000074305845796,0.9999925694154204,99.6722680893514,100.33322142180054,-0.6609533324491395
0.0013,1.0013,0.9987,173.51,169.84936666666667,True,1.0013,97.60983585597232,101.3598393312009,-3.7500034752285814,1,1.0013,94.57775811517024,100.81249619881238,-6.234738083642142,1,0.0012991557316201288,0.007702348026612542,475.2620007152874,0.08137057354268551,0.08137057354268551,1.0000978047843792,0.999902195215621,1.0000978047843792,99.68201651404046,100.33322142180054,-0.6512049077600892
0.0059,1.0059,0.9941,174.54,169.83516666666665,True,1.0059,98.18573388752256,101.3598393312009,-3.174105443678343,1,1.0059,95.13576688804974,100.81249619881238,-5.676729310762639,1,0.005882663158155512,0.007673115970288258,613.1581161488157,0.10498054859547339,0.10498054859547339,1.0004800863839018,0.9995199136160982,1.0004800863839018,99.72987249288873,100.33322142180054,-0.6033489289118137
-0.0197,0.9803,1.0197,171.1,169.81546666666665,True,0.9803,96.25147492993835,101.3598393312009,-5.108364401262548,1,0.9803,93.26159228035516,100.81249619881238,-7.550903918457223,1,-0.019896631714456645,0.008141393896900283,157.77805982614478,0.02701234959643726,0.02701234959643726,0.9979318831926691,1.0020681168073309,0.9979318831926691,99.52361946739322,100.33322142180054,-0.8096019544073272
-0.0076,0.9924,1.0076,169.8,169.78936666666667,True,0.9924,95.51996372047081,101.3598393312009,-5.83987561073009,1,0.9924,92.55280417902445,100.81249619881238,-8.259692019787934,1,-0.007629027164491163,0.008110083234248755,1.3111250558367715,0.00022275936832160886,0.00022275936832160886,0.9997947061430671,1.000205293856933,0.9997947061430671,99.50318787969684,100.33322142180054,-0.8300335421037062
0.0178,1.0178,0.9822,172.81,169.76903333333334,True,1.0178,97.22021907469521,101.3598393312009,-4.139620256505694,1,1.0178,94.20024409341109,100.81249619881238,-6.612252105401296,1,0.01764343517259528,0.008487469622733102,358.288960295262,0.06134295668427723,0.06134295668427723,1.000003965116756,0.9999960348832438,1.000003965116756,99.50358242145438,100.33322142180054,-0.8296390003461624
0.0084,1.0084,0.9916,174.26,169.7561,True,1.0084,98.03686891492264,101.3598393312009,-3.3229704162782667,1,1.0084,94.99152614379574,100.81249619881238,-5.8209700550166446,1,0.008364916331627672,0.008496694577178028,530.0767209047838,0.09075571229101671,0.09075571229101671,1.000515280836148,0.9994847191638521,1.000515280836148,99.55485471060422,100.33322142180054,-0.7783667111963268
-0.0045,0.9955,1.0045,173.48,169.73136666666667,True,0.9955,97.59570300480549,101.3598393312009,-3.764136326395416,1,0.9955,94.56406427614866,100.81249619881238,-6.248431922663727,1,-0.004510155477886019,0.008424869012642174,444.9485597589944,0.07618043760236433,0.07618043760236433,0.9995915992946904,1.0004084007053096,0.9995915992946904,99.51419643772343,100.33322142180054,-0.8190249840771173
-0.0189,0.9811,1.0189,170.2,169.68536666666668,True,0.9811,95.75114421801466,101.3598393312009,-5.6086951131862435,1,0.9811,92.77680346132945,100.81249619881238,-8.035692737482933,1,-0.019080887812791953,0.008754836277165083,58.78274784825008,0.010062801461647992,0.010062801461647992,0.9985601897293153,1.0014398102706847,0.9985601897293153,99.37091487561345,100.33322142180054,-0.9623065461870937
-0.0043,0.9957,1.0043,169.46,169.62480000000002,False,0.9957,95.3394142978772,101.3598393312009,-6.020425033323704,0,0.9957,92.37786320644574,100.81249619881238,-8.434632992366645,-1,-0.004309271588098403,0.00867680348973993,-18.993169569287247,-0.0023291333745941666,0.0023291333745941666,0.9999567299537149,1.0000432700462851,0.9999567299537149,99.3666150915274,100.33322142180054,-0.9666063302731516
0.0007,1.0007,0.9993,169.58,169.57243333333335,True,1.0,95.3394142978772,101.3598393312009,-6.020425033323704,1,0.9993,92.31319870220122,100.81249619881238,-8.499297496611163,1,0.0,0.008588912928204689,0.8809807166415986,0.0001491119194027782,0.0001491119194027782,1.0000016303933623,0.9999983696066378,0.9999983696066378,99.36645308485772,100.33322142180054,-0.9667683369428204
-0.005,0.995,1.005,168.74,169.53553333333332,False,0.995,94.86271722638782,101.3598393312009,-6.497122104813087,0,0.995,91.85163270869022,100.81249619881238,-8.960863490122165,-1,-0.005012541823544286,0.008521556603481195,-93.35540093793682,-0.011732872482504585,0.011732872482504585,0.9999992544404029,1.000000745559597,0.9999992544404029,99.366379001245,100.33322142180054,-0.966842420555551
0.0092,1.0092,0.9908,170.3,169.5,True,1.0,94.86271722638782,101.3598393312009,-6.497122104813087,1,0.9908,91.00659768777027,100.81249619881238,-9.805898511042116,1,0.0,0.008438816893006752,94.80001878734582,0.016229522443367478,0.016229522443367478,1.000107942426839,0.9998920575731609,0.9998920575731609,99.35565315314939,100.33322142180054,-0.9775682686511544
0.0068,1.0068,0.9932,171.46,169.473,True,1.0068,95.50778370352725,101.3598393312009,-5.85205562767365,1,1.0068,91.6254425520471,100.81249619881238,-9.187053646765278,1,0.006776984279023669,0.008425525183145667,235.8309965027188,0.04037623502524082,0.04037623502524082,1.000110360752615,0.999889639247385,1.000110360752615,99.36661811780793,100.33322142180054,-0.9666033039926134
0.0057,1.0057,0.9943,172.45,169.4524,True,1.0057,96.05217807063737,101.3598393312009,-5.307661260563535,1,1.0057,92.14770757459377,100.81249619881238,-8.664788624218616,1,0.005683816468297709,0.008393139564082379,357.1488329382623,0.06114774902109444,0.06114774902109444,1.000230144539644,0.9997698554603561,1.000230144539644,99.38948680239062,100.33322142180054,-0.9437346194099234
-0.0094,0.9906,1.0094,170.82,169.4399,True,0.9906,95.14928759677336,101.3598393312009,-6.21055173442754,1,0.9906,91.2815191233926,100.81249619881238,-9.530977075419784,1,-0.009444458827999689,0.008397379612866502,164.34888782274453,0.02813737827899404,0.02813737827899404,0.9994252111592017,1.0005747888407983,0.9994252111592017,99.33235883448394,100.33322142180054,-1.000862587316604
-0.0025,0.9975,1.0025,170.39,169.42086666666665,True,0.9975,94.91141437778144,101.3598393312009,-6.448424953419462,1,0.9975,91.05331532558412,100.81249619881238,-9.75918087322826,1,-0.002503130218118477,0.008323433003020997,116.43432859753712,0.019933655176164584,0.019933655176164584,0.9999296565543025,1.0000703434456975,0.9999296565543025,99.32537145409425,100.33322142180054,-1.0078499677062922
-0.0046,0.9954,1.0046,169.6,169.38286666666667,True,0.9954,94.47482187164364,101.3598393312009,-6.885017459557261,1,0.9954,90.63447007508643,100.81249619881238,-10.178026123725957,1,-0.004610612557683294,0.008263154989010549,26.27729161828567,0.004497358169382867,0.004497358169382867,0.9999083051861897,1.0000916948138103,0.9999083051861897,99.31626383265213,100.33322142180054,-1.0169575891484186
-0.0123,0.9877,1.0123,167.52,169.35613333333333,False,0.9877,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9877,89.51966609316287,100.81249619881238,-11.292830105649514,-1,-0.012376271068055405,0.008325523104705955,-220.54269866784202,-0.027816792285325256,0.027816792285325256,0.9999446824945166,1.0000553175054834,0.9999446824945166,99.31076990468299,100.33322142180054,-1.0224515171175597
0.0019,1.0019,0.9981,167.84,169.3249,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9981,89.34957872758585,100.81249619881238,-11.462917471226532,-1,0.0,0.008254901356483444,-179.88101079291056,-0.022674774658560708,0.022674774658560708,1.0000528519053422,0.9999471480946579,0.9999471480946579,99.30552114127254,100.33322142180054,-1.027700280528009
0.0026,1.0026,0.9974,168.27,169.28813333333335,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9974,89.11726982289413,100.81249619881238,-11.695226375918253,-1,0.0,0.00818604665104645,-124.3742403059952,-0.015655469578889955,0.015655469578889955,1.0000589544141123,0.9999410455858877,0.9999410455858877,99.29966664245553,100.33322142180054,-1.0335547793450104
-0.0045,0.9955,1.0045,167.51,169.251,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,1.0045,89.51829753709714,100.81249619881238,-11.294198661715242,-1,0.0,0.008118886513716917,-214.43827266935952,-0.02704483549440147,0.02704483549440147,0.999929550386895,1.000070449613105,1.000070449613105,99.30666226555195,100.33322142180054,-1.0265591562485952
0.0005,1.0005,0.9995,167.6,169.22073333333333,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9995,89.4735383883286,100.81249619881238,-11.338957810483777,-1,0.0,0.008053352563864889,-201.24951943685014,-0.025377005034308314,0.025377005034308314,1.000013522417747,0.9999864775822528,0.9999864775822528,99.30531939937971,100.33322142180054,-1.0279020224208324
0.0032,1.0032,0.9968,168.14,169.198,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9968,89.18722306548595,100.81249619881238,-11.62527313332643,-1,0.0,0.007989380222306594,-132.4257915584056,-0.01667365698394888,0.01667365698394888,1.0000812064161098,0.9999187935838902,0.9999187935838902,99.29725517029065,100.33322142180054,-1.0359662515098904
-0.002,0.998,1.002,167.8,169.16096666666667,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,1.002,89.36559751161693,100.81249619881238,-11.446898687195457,-1,0.0,0.007926908443860457,-171.68946460088742,-0.021638883698023203,0.021638883698023203,0.9999666526860321,1.000033347313968,1.000033347313968,99.30056646703498,100.33322142180054,-1.0326549547655617
-0.0028,0.9972,1.0028,167.33,169.1251,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,1.0028,89.61582118464945,100.81249619881238,-11.196675014162935,-1,0.0,0.0078658794725442,-228.21351461915677,-0.028786832460603977,0.028786832460603977,0.9999394111256455,1.0000605888743546,1.0000605888743546,99.30658297657999,100.33322142180054,-1.0266384452205557
-0.0338,0.9662,1.0338,161.68,169.07979999999998,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,1.0338,92.64483594069061,100.81249619881238,-8.16766025812177,-1,0.0,0.007806238617182325,-947.934128443404,-0.11980164950443085,0.11980164950443085,0.9990270050628316,1.0009729949371684,1.0009729949371684,99.40320777904368,100.33322142180054,-0.9300136427568617
0.0157,1.0157,0.9843,164.21,169.04413333333332,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9843,91.19031201642176,100.81249619881238,-9.622184182390626,-1,0.0,0.007747934045443034,-623.9254625788303,-0.07882798711676463,0.07882798711676463,1.0018808858972195,0.9981191141027804,0.9981191141027804,99.2162416873937,100.33322142180054,-1.11697973440684
-0.0153,0.9847,1.0153,161.7,169.01113333333333,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,1.0153,92.58552379027302,100.81249619881238,-8.226972408539368,-1,0.0,0.007690916594542178,-950.619245893481,-0.12014120553320902,0.12014120553320902,0.9987939317971135,1.0012060682028865,1.0012060682028865,99.33590324170277,100.33322142180054,-0.9973181800977784
-0.0039,0.9961,1.0039,161.06,168.97726666666668,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,1.0039,92.94660733305508,100.81249619881238,-7.865888865757299,-1,0.0,0.007635139597043549,-1036.9511344275056,-0.13105860999411706,0.13105860999411706,0.9995314492984205,1.0004685507015796,1.0004685507015796,99.38244714885872,100.33322142180054,-0.9507742729418283
0.0055,1.0055,0.9945,161.95,168.94906666666668,False,1.0,93.31278156262243,101.3598393312009,-8.047057768578469,0,0.9945,92.43540099272329,100.81249619881238,-8.377095206089095,-1,0.0,0.007580558720353064,-923.2916629053843,-0.11668539932433061,0.11668539932433061,1.0007208223549677,0.9992791776450324,0.9992791776450324,99.31081005926242,100.33322142180054,-1.0224113625381221
