Date1,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,Date2,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal
8/1/2007 0:00,0.920123157,9.092777138,-2.824425057,2.912270442,,,8/3/2007,,,
8/2/2007 0:00,0.915883361,8.861915663,-2.763119978,3.118739725,,,8/6/2007,,,
8/3/2007 0:00,0.916740765,8.75796262,-2.548409373,3.099137024,,,8/7/2007,,,
8/6/2007 0:00,0.915102671,8.595728137,-2.449472099,3.144861982,,,8/8/2007,,,
8/7/2007 0:00,0.918514467,8.674100765,-2.213387989,2.801285554,,,8/9/2007,,,
8/8/2007 0:00,0.931740252,8.878731903,-1.709829112,2.4688504,,,8/10/2007,,,
8/9/2007 0:00,0.938002511,9.005970199,-1.463855389,2.21652965,,,8/13/2007,,,
8/10/2007 0:00,0.937288437,8.977268542,-1.45058689,2.156634974,,,8/14/2007,,,
8/13/2007 0:00,0.931534857,8.965335475,-1.592419319,1.991824469,,,8/15/2007,,,
8/14/2007 0:00,0.922953645,8.786327431,-1.806420353,2.085051416,,,8/16/2007,,,
8/15/2007 0:00,0.919528623,8.664536894,-1.849716046,2.156752812,,,8/17/2007,,,
8/16/2007 0:00,0.914110785,8.330779052,-1.94455661,2.550703638,,,8/20/2007,,,
8/17/2007 0:00,0.910591114,8.097975617,-1.976213954,2.755726147,,,8/21/2007,,,
8/20/2007 0:00,0.911352107,7.978138156,-1.888346432,2.803945787,,,8/22/2007,,,
8/21/2007 0:00,0.909457778,7.814828867,-1.879750541,2.874496296,,,8/23/2007,,,
8/22/2007 0:00,0.915294479,7.869058507,-1.667603378,2.695536995,,,8/24/2007,,,
8/23/2007 0:00,0.913861944,8.058460438,-1.662939451,2.250698154,,,8/27/2007,,,
8/24/2007 0:00,0.913530534,8.327228463,-1.630026054,1.774096651,,,8/28/2007,,,
8/27/2007 0:00,0.916313521,8.639388874,-1.518881925,1.337206922,,,8/29/2007,,,
8/28/2007 0:00,0.922810912,9.057194281,-1.317875711,0.85841683,,,8/30/2007,,,
8/29/2007 0:00,0.920107145,9.183921717,-1.36474743,0.66094249,,,8/31/2007,,,
8/30/2007 0:00,0.92493554,9.333299792,-1.215199283,0.533899341,,,9/4/2007,,,
8/31/2007 0:00,0.926383722,9.33703977,-1.158806168,0.54252113,,,9/5/2007,,,
9/3/2007 0:00,0.926383722,9.33703977,-1.141966972,0.538161169,,,9/6/2007,,,
9/4/2007 0:00,0.934300445,9.420035704,-0.9202219,0.530087821,,,9/7/2007,,,
9/5/2007 0:00,0.931496804,9.288421691,-0.983040937,0.651262503,,,9/10/2007,,,
9/6/2007 0:00,0.931650316,9.179099862,-0.967463087,0.783298322,,,9/11/2007,,,
9/7/2007 0:00,0.934052475,9.111316717,-0.893616989,0.891449546,,,9/12/2007,,,
9/10/2007 0:00,0.932579405,9.017737281,-0.922784318,0.984119201,,,9/13/2007,,,
9/11/2007 0:00,0.923477615,8.797674891,-1.150391585,1.14805489,,,9/14/2007,,,
9/12/2007 0:00,0.926932417,8.788376782,-1.045341544,1.189428639,,,9/17/2007,,,
9/13/2007 0:00,0.923574616,8.760887464,-1.120278381,1.167371852,,,9/18/2007,,,
9/14/2007 0:00,0.920077177,8.740690775,-1.196720551,1.134479143,,,9/19/2007,,,
9/17/2007 0:00,0.917238922,8.687103043,-1.253780672,1.156188696,,,9/20/2007,,,
9/18/2007 0:00,0.914581381,8.646897959,-1.304298473,1.161901854,,,9/21/2007,,,
9/19/2007 0:00,0.91071558,8.634562489,-1.383723449,1.114139483,,,9/24/2007,,,
9/20/2007 0:00,0.902465211,8.548458889,-1.569959079,1.111620085,,,9/25/2007,,,
9/21/2007 0:00,0.895786135,8.454161852,-1.70687671,1.141541958,,,9/26/2007,,,
9/24/2007 0:00,0.897007359,8.505910205,-1.64234443,1.072149852,,,9/27/2007,,,
