Date,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal,returns+1
2007-07-20,0.949185567,10.36101298,-2.574457575,0.805019236,,,1.0,1.0,0.0761804376023643,-0.0399
2007-07-23,0.950161268,10.3521808,-2.348045142,0.841326371,,,1.0,1.0,0.0100628014616479,-0.0399
2007-07-24,0.949885334,10.27139754,-2.219110096,1.02620545,,,0.0,-1.0,-0.0023291333745941,-0.0399
2007-07-25,0.958146939,10.38002586,-1.731529802,0.957123582,,,1.0,1.0,0.0001491119194027,-0.0399
2007-07-26,0.95381942,10.2550706,-1.860396651,1.139959888,,,0.0,-1.0,-0.0117328724825045,-0.0399
2007-07-27,0.951143545,10.12078217,-1.901209817,1.38729382,,,1.0,1.0,0.0162295224433674,-0.0399
2007-07-30,0.948223217,9.879434772,-1.946220087,1.888676883,,,1.0,1.0,0.0403762350252408,-0.0399
2007-07-31,0.942281421,9.619409343,-2.105274026,2.308561537,,,1.0,1.0,0.0611477490210944,-0.0399
2007-08-01,0.920123157,9.092777138,-2.824425057,2.912270442,,,1.0,1.0,0.028137378278994,0.0766
2007-08-02,0.915883361,8.861915663,-2.763119978,3.118739725,,,1.0,1.0,0.0199336551761645,0.0766
2007-08-03,0.916740765,8.75796262,-2.548409373,3.099137024,,,1.0,1.0,0.0044973581693828,0.0766
2007-08-06,0.915102671,8.595728137,-2.449472099,3.144861982,,,0.0,-1.0,-0.0278167922853252,0.0766
2007-08-07,0.918514467,8.674100765,-2.213387989,2.801285554,,,0.0,-1.0,-0.0226747746585607,0.0766
2007-08-08,0.931740252,8.878731903,-1.709829112,2.4688504,,,0.0,-1.0,-0.0156554695788899,0.0766
2007-08-09,0.938002511,9.005970199,-1.463855389,2.21652965,,,0.0,-1.0,-0.0270448354944014,0.0766
2007-08-10,0.937288437,8.977268542,-1.45058689,2.156634974,,,0.0,-1.0,-0.0253770050343083,0.0766
2007-08-13,0.931534857,8.965335475,-1.592419319,1.991824469,,,0.0,-1.0,-0.0166736569839488,0.0766
2007-08-14,0.922953645,8.786327431,-1.806420353,2.085051416,,,0.0,-1.0,-0.0216388836980232,0.0766
2007-08-15,0.919528623,8.664536894,-1.849716046,2.156752812,,,0.0,-1.0,-0.0287868324606039,0.0766
2007-08-16,0.914110785,8.330779052,-1.94455661,2.550703638,,,0.0,-1.0,-0.1198016495044308,0.0766
2007-08-17,0.910591114,8.097975617,-1.976213954,2.755726147,,,0.0,-1.0,-0.0788279871167646,0.0766
